, Hermione
hand, it
handbag, Lupin
handle, it
hands, of
hang, around
hanging, by
happen, to
happened, he
happening, Hermione
happens, Great
happiest, Ive
happiness, So
happy, exactly
hard, Keep
harder, and
harm, Ron
harmoniously, One
harp, string
has, already
hasi, heth
hasnt, got
hassa, she
hat, Dobbys
haunted, building
have, a
havent, the
having, a
he, talking
head, I
headed, Harry
heading, this
headless, Nick
headmaster, Fudge
headmasters, here
heads, Young
healing, powers
healthy, growth
hear, me
heard, Snape
hearing, this
hears, Dumbledores
heart, here
heartbeat, Ron
hearts, Petunia
hed, come
heh, Ahh
heir, returned
hell, like
hello, Well
help, it
helping, an
helps, And
her, Siris
here, You
hereby, give
hereinafter, called
heres, the
hers, is
herself, for
hes, coming
heth, Nothing
hey, Hagrid
hidden, qualities
hide, Who
hiding, Few
highest, cloud
him, We
himself, Harry
hinkypunks, Were
hippogriff, known
hippogriffs, head
his, soul
hmm, Lucius
hold, on
holding, the
hole, Harry
holidays, For
home, Harry
homework, for
honest, and
honestly, Ron
honor, it
honorable, as
hoo, Crowd
hoops, With
hope, Im
hoped, Id
hopeless, cases
horrible, Harry
horrific, death
horror, within
horrors, in
hospital, Hagrid
host, to
hot, That
hour, or
hours, ago
house, professor
houses, Snape
hover, for
how, much
however, honest
hows, the
huh, Not
hum, Harry
hunch, I
hundred, times
hundreds, of
hungry, We
hunt, and
hurry, Hermione
hurt, Hermione
hut, now
ice, Ginny
idea, Look
ideas, And
idiot, Hes
if, you
ignorance, and
ignore, him
iguana, s
ill, of
imaginable, They
imagine, what
immediately, Not
immortal, Ron
important, Stick
impossible, to
impress, upon
impressed, That
in, the
inappropriate, Im
incantation, Expecto
incantations, in
incapable, of
inch, from
incident, whatsoever
include, being
including, Flitwick
indeed, Dumbledore
inflicted, on
influence, on
inform, you
information, for
infusion, of
ingredients, in
injured, bad
ink, and
innocent, man
inside, the
insinuation, Longbottom
insist, that
insolent, little
instant, death
institution, for
insufferable, know
insult, anyone
insulted, her
insulting, Its
intellect, while
intentionally, But
intentions, were
interest, what
interesting, Dumbledore
into, a
introduce, you
investigate, any
invisibility, cloak
invisible, Ron
irresponsible, Harry
is, it
isnt, it
it, Harry
itd, be
itll, be
its, a
itself, This
jab, them
jammed, Harry
jinxing, the
job, description
join, the
joint, Dont
joke, Harry
jokes, What
joking, I
judgment, As
jump, in
jumped, up
just, say
keen, penetrating
keep, the
keeper, thats
kept, an
key, Hagrid
keys, and
kick, off
kill, him
killed, Your
killer, on
killers, Besides
kills, by
kind, of
kindly, consented
kinds, of
kiss, Come
kneecaps, on
knew, I
knock, you
knocked, out
know, Honestly
knowledge, or
known, Hermione
knows, Hermione
lack, of
lad, You
lads, This
lady, who
lake, when
lamp, Dobby
land, none
landed, with
language, and
large, brandy
last, chime
late, Its
later, Ron
laughter, You
law, Underage
laws, Miss
laying, it
lead, You
lean, forward
learned, this
learning, should
least, someones
leave, us
leaves, So
leaving, Harry
left, A
leg, off
legend, Lockhart
legendary, substance
lent, him
less, than
lesson, Thank
lessons, all
let, slip
lets, see
letter, We
letterbox, Petunia
letters, Let
levitation, the
liar, Voldemort
liberty, of
library, the
lie, Marge
lies, Pettigrews
life, will
light, out
like, me
liking, for
limb, will
limbs, Fortunately
limping, Hermione
line, I
ling, planted
linger, Snape
lings, you
lion, this
lips, you
listen, to
little, But
live, in
lived, Platform
liver, and
lives, to
living, for
load, of
loads, of
loathsome, evil
located, a
locked, up
long, name
longer, your
longing, to
look, so
looked, worse
looking, for
looks, like
loose, seems
lose, him
lost, anything
lot, better
louder, and
lounge, waiting
love, us
lovely, to
low, Back
lower, your
loyal, to
loyalties, lie
loyalty, down
luck, Ron
lucky, Madam
lump, of
lunatic, Harry
lurking, about
lying, then
m, mean
maam, Harry
mad, Harry
made, me
madness, within
maggot, Turn
magic, Lupin
magical, talent
maid, The
maids, your
mail, Ron
make, any
maker, of
makes, them
making, no
man, through
managed, Ron
mangled, body
many, classes
map, never
mark, cannot
marked, for
married, couple
master, shall
match, Who
mate, Harry
matter, of
matters, And
matured, a
may, be
maybe, you
me, But
meals, for
mean, to
meaningless, to
means, you
meant, to
meantime, I
meat, when
meddle, with
meddled, with
meddling, in
meet, again
meeting, you
mellow, turn
members, took
memories, Our
memory, I
mental, Siris
mention, that
mentioned, seeing
mercy, Lupin
mere, memory
merely, a
meself, Watch
mess, it
message, Our
messages, on
met, Siris
metal, into
middle, Dudley
midst, Goodbye
might, chop
mightve, tried
mind, Ron
minds, You
mine, I
minister, Meanwhile
ministers, suggesting
minute, now
minutes, before
mirror, Harry
mischief, managed
miserable, Harry
misleading, Harry
miss, the
missed, Snape
missing, a
mistake, This
mistaken, Harry
mister, Harry
misunderstood, Harry
model, yet
modified, She
mom, and
moment, ago
momentarily, Draco
moments, you
momentum, Ron
money, And
monkey, Do
monkshood, and
monster, Gilderoy
monsters, taken
monstrous, creature
month, But
months, now
moon, when
moonlight, are
more, than
morning, two
most, haunted
mother, gave
mothers, eyes
mount, it
mountain, troll
mouth, Malfoy
move, a
moved, to
movement, close
moves, again
moving, Dumbledore
much, you
mudblood, Mark
mudbloods, Hermione
mum, made
mummies, tombs
mummy, Hehe
murder, Harry
murdered, Lupin
murderer, Got
murderous, raving
must, minister
mustnt, blame
mustve, shown
muttering, his
my, behalf
myself, conjuring
namby, pamby
name, Hermione
named, Nevilles
names, funny
nasty, dementor
naturally, the
nature, of
near, that
nearly, unbearable
need, to
needing, it
needs, are
neffy, pooh
neither, it
nerve, Steady
nervous, Ginny
never, really
new, dream
next, Snape
nice, cup
night, Ron
nightmare, honestly
nine, eight
ninth, hole
no, guilt
noble, thing
nobody, lived
noise, and
none, other
nonsense, about
nor, do
normal, Hermione
normally, does
nose, out
nosh, Petunia
not, Others
note, at
noted, alchemist
nothing, to
notice, play
notices, I
now, Ill
nowhere, to
number, 
o, sa
oaf, teaching
obeys, me
objects, fly
obvious, I
obviously, released
occasionally, George
occur, to
ocean, or
oclock, Theyre
odd, sort
of, course
off, Dumbledore
offend, you
offended, You
offer, their
office, of
official, Hogwarts
often, Youre
oh, I
okay, Come
old, wizards
omen, of
omens, in
on, Harry
once, Lupin
one, knows
ones, that
only, a
onto, the
ooh, well
open, it
opened, the
opening, your
opinion, you
opposite, you
or, a
order, for
ordinary, cut
orphanage, if
other, peoples
others, A
ought, not
our, friend
ours, Fred
ourselves, into
out, the
outrage, Its
outside, the
outstanding, courage
over, please
owe, someone
owing, to
owl, Hermione
owls, will
own, kind
owned, that
owner, of
p, poor
packed, Hermione
packs, got
page, 
pages, of
pain, becomes
painful, They
painting, in
pair, of
pamby, wishy
panic, now
papers, to
parasite, Unicorn
parchment, designed
parent, or
parents, will
part, You
particular, interest
particularly, famous
partner, Nicolas
pass, out
passageway, George
passageways, out
passed, on
passes, to
password, again
past, Do
pat, him
path, Furthermore
pathetic, isnt
pay, for
pea, soup
peaky, doesnt
penetrates, the
penetrating, mind
penguin, do
people, like
peoples, business
peppermint, and
perfect, sister
perfectly, well
perform, the
perhaps, For
peril, fifty
permanent, The
permission, follow
person, is
persuasive, Not
pet, Ron
petrified, Its
pets, Ron
pewter, cauldron
phoenix, whose
physical, form
picture, the
pictures, moving
piece, Said
pieces, What
pig, with
pipe, down
pippy, pooh
pitch, for
pity, they
place, to
places, at
plan, weve
plans, my
plant, which
planted, when
platform, Yes
platforms, 
play, with
played, game
player, in
players, take
playing, with
please, Dumbledore
pleased, to
plot, to
plotting, them
plumbing, Harry
pocket, Magic
pockets, Whats
pocketwatch, that
point, is
points, from
poisons, As
polite, So
pooh, What
poor, way
poorly, on
positions, as
positive, force
possess, the
possesses, Ask
possession, but
possible, Harry
possibly, Trelawney
post, of
pot, of
potion, tonight
potter, C
powdered, root
power, of
powerful, wizard
powers, to
practice, it
practicing, hmm
predisposition, I
prefer, Sir
preoccupied, today
prepared, Now
presence, will
present, the
presents, Ron
preserved, in
preserving, my
press, their
presume, Hagrid
pretend, to
pretending, that
pretty, sure
price, You
pride, in
prior, to
priorities, Facts
privilege, shall
prizes, Determination
probably, be
problem, is
problems, I
proceed, to
process, is
produces, the
product, Nevertheless
professor, Harry
program, We
promises, of
proof, Siris
proper, spirit
properly, punctured
protect, Harry
protecting, the
proud, of
prove, yourself
proven, guilty
prune, Boy
pub, where
pull, out
pulsing, dear
pumpkin, Petunia
punch, Hermione
punchline, of
punctured, and
punish, himself
punishment, Dumbledore
punishments, die
pup, Harry
pure, bloods
purely, out
purge, the
purpose, Stan
put, your
qualities, it
quarreling, like
quarters, Yes
question, isnt
questions, Thats
quick, enough
quicker, way
quickly, Come
quiet, yourself
quills, bewitched
quite, recently
rabbit, harp
racing, broom
ragged, arent
raised, you
rare, I
rarely, left
rat, But
rather, than
rational, behavior
raving, lunatic
rd, floor
reach, Hermione
read, it
reading, tea
ready, Harry
real, But
realize, what
realized, Peter
really, are
reason, I
recall, prior
receive, special
receives, 
recent, events
recently, I
reckon, that
recognized, you
recognizing, it
recollection, of
recommend, FredGeorge
red, caps
reflect, poorly
reflection, Spiders
reflects, the
regret, this
regrets, more
relax, Ron
release, papers
released, him
relive, our
remain, are
remaining, limbs
remains, to
remarkable, Here
remember, him
remembered, that
remembers, who
remind, you
repay, them
repeat, nothing
repel, a
replacing, Mr
request, that
require, three
required, Thank
resides, in
resigned, actually
resourcefulness, and
respect, his
responds, to
rest, Flitch
rested, with
restraining, yourself
restricted, section
retire, in
retracing, my
return, to
returned, Professor
returning, to
reunited, once
reveal, to
revive, Mrs
rich, Look
rid, of
ride, him
ridiculous, Lupin
riding, it
right, Hermione
rigid, We
rip, you
ripped, to
risked, enough
roam, our
robe, You
robes, I
rock, so
rocks, Fudge
rode, a
rolls, of
roof, Whats
room, Right
root, of
rots, with
rotten, luck
round, here
rubbish, he
rude, Ron
rudimentary, skills
ruined, Itll
rule, Potter
rules, either
rum, Actually
rumor, has
rumours, true
run, along
running, away
s, How
sa, not
saaa, Ron
sacked, Lupin
sacking, you
sacrifice, by
sacrificed, herself
safe, and
safer, cept
said, Or
sake, Dont
same, time
sample, Harry
sat, on
save, Sirius
saved, an
saving, if
saw, you
say, goodbye
saying, something
says, That
scandal, Vernon
scar, by
scarcely, imagine
scare, there
scared, out
scary, Harry
schedule, once
school, with
schoolbooks, I
science, and
scores, 
scratch, Hermione
screaming, Lupin
scum, Hermione
sealed, it
search, the
searched, the
searching, the
season, Todays
seat, Hurry
seats, Snape
second, time
secret, passageways
secrets, Read
section, How
see, Hermione
seeing, as
seek, it
seeker, who
seem, to
seemed, to
seems, that
seen, Hermione
sees, you
select, few
selective, about
self, in
seller, Fred
send, the
sending, dementors
sends, his
sense, Hermione
sensed, that
senses, I
sent, it
sentence, deep
sentenced, to
serious, this
seriously, doubt
seriousness, of
serpents, eye
servant, and
servants, stuff
serve, is
serves, sir
services, are
serving, detention
set, him
sets, of
settle, Neville
settled, Well
seven, secret
several, ways
shaking, hands
shall, dispatch
shape, shifting
share, my
she, wasnt
shed, this
sheer, dumb
shes, bored
shh, Dobby
shield, with
shift, some
shifters, They
shifting, being
shock, for
shoe, brush
shopping, for
shortly, before
should, sign
shouldnt, be
shouldve, realized
show, me
showed, someone
shown, anyone
shows, Fred
shriveled, as
shy, Come
sick, Lee
side, Interference
sight, But
sighted, Ron
sign, as
signed, it
silly, creature
similarities, between
simple, charm
simply, in
since, I
sing, Exactly
singer, Hermione
single, professor
singularly, gifted
sink, Harry
sir, Hes
sister, was
sit, here
sitting, opposite
six, five
sixteen, year
sixty, feet
size, two
skeleton, will
skies, if
skills, after
skin, Harry
skis, Malfoy
sky, I
slain, something
slay, a
sleep, here
sleeping, potion
sleepwalking, Snape
sliding, off
slightly, and
slip, the
slipped, past
slope, Ah
slow, Now
slowly, Thats
slugs, Hermione
small, glasses
smart, bird
smell, of
smelly, old
smile, Vernon
smirking, at
smoke, with
snake, Harry
snakeskin, Ron
snatched, by
snitch, is
so, miserable
sold, James
solemnly, swear
some, time
somebody, let
someone, like
someones, enjoying
someplace, you
something, happened
sometime, Until
somewhere, in
son, Petunia
songbird, and
sons, and
soon, as
sorcerer, in
sorry, Harry
sort, of
sorted, into
sorting, hat
soul, Headmaster
sound, and
sounded, familiar
soup, Harry
south, of
spared, Lets
speak, to
speaking, so
special, awards
spectral, dog
spell, Im
spells, Harry
spend, more
spent, so
spiders, Ron
spilt, and
spinach, liver
spine, of
spirit, for
splendid, Seamus
spoke, ill
spoken, out
spooky, She
squeeze, hed
ssh, Im
st, stuttering
stack, The
staircase, moves
staircases, change
stand, there
standard, size
standing, up
stands, in
staring, in
start, arriving
started, McGonagall
state, of
stationed, at
stay, with
steady, hover
steal, him
step, up
stepped, foot
steps, to
stick, close
still, alive
stomach, of
stone, has
stood, up
stop, them
stopped, you
stopper, in
stopping, We
store, by
story, How
straight, to
stranded, witch
strange, Harry
stranger, I
strawberries, Dumbledore
strength, enough
strictly, between
string, hum
stroke, it
strong, Then
stronger, Yes
strongly, discourage
strut, And
strutting, about
student, has
students, back
study, Fred
studying, dragons
stuff, like
stumped, him
stupid, I
stuttering, Professor
subject, Ron
substance, with
subtle, science
succeed, more
succeeded, even
success, George
such, a
suck, out
suffer, but
suffering, And
sufficient, evidence
suggest, you
suggested, that
suggesting, you
suggests, what
suitcase, Ronald
summer, devising
summon, me
sun, and
sundown, Hagrid
superiors, Hermione
supplies, Tom
supporter, of
suppose, this
supposed, to
sure, well
survive, Live
suspect, its
suspicious, I
sustain, me
sway, the
swear, that
sweared, he
sweet, disposition
swim, in
swish, and
swore, when
table, even
tail, I
take, it
taken, your
takes, a
taking, Hermione
tale, Five
talent, rumor
talk, about
talked, to
talking, about
tap, dance
target, has
tart, that
task, and
taste, fine
tch, Good
tea, or
teach, you
teacher, I
teachers, to
teaching, their
team, had
teams, seeker
tears, have
teasing, me
tell, me
telling, you
temporarily, into
tempt, you
ten, points
term, This
terrible, fate
terribly, Draco
terrifying, yes
test, it
th, birthday
than, one
thank, you
thanks, Myrtle
that, Im
thats, the
the, world
their, children
them, in
themselves, And
then, mischief
theories, on
there, Hermione
theres, nothing
these, visits
they, come
theyll, catch
theyre, gonna
theyve, captured
thick, heads
thing, time
things, happen
think, about
thinking, of
thinks, all
third, floors
thirst, to
thirty, seven
this, back
those, years
though, its
thought, I
thousand, years
threatening, messages
three, hours
through, I
thumbs, in
thumping, good
thus, In
ticket, Harry
tied, with
tight, you
till, my
time, tomorrow
times, if
tired, of
to, open
toad, A
toast, mate
today, Lupin
toe, isnt
toffee, Mm
together, man
toilet, And
told, Dumbledore
tombs, even
tomorrow, the
tonight, more
too, unpredictable
took, turns
top, of
topmost, cell
tore, my
totally, barbaric
touch, him
touched, Mrs
touches, your
tough, night
tower, and
tragically, lost
trailing, after
train, go
trained, up
trance, Still
transferred, some
transfigure, Mr
transform, himself
transformed, into
transforming, animals
transforms, he
transport, for
trap, Hes
trapdoor, the
treat, for
tree, this
trees, when
trials, and
trick, them
tricks, Hagrid
tricky, Ive
tried, to
tries, to
tripe, George
triumphs, will
troll, in
trolley, Why
trolls, left
trouble, Particularly
troubling, you
true, is
truly, live
trunk, The
trust, Harry
trusted, you
truth, You
try, You
trying, Come
turn, it
turned, out
turns, should
twinges, a
two, places
tyke, fell
type, doesnt
ugly, brute
uh, one
um, As
unbearable, to
uncle, but
uncles, sister
uncommonly, kind
uncovered, the
under, the
underage, wizards
understand, if
understands, Its
understood, Im
undetected, Dumbledore
unemployed, Marge
unfinished, business
unfortunate, No
unfortunately, wasnt
ungrateful, way
unicorn, that
unicorns, Dont
uniform, Itll
unknown, Gringotts
unleash, the
unless, you
unlike, some
unlikely, as
unlocked, the
unlucky, I
unpredictable, And
unprotected, with
until, you
unworthy, to
up, now
upon, both
upstairs, if
us, And
use, magic
used, to
useless, but
uses, of
using, the
usual, come
vampire, b
vanish, occasionally
vault, Hagrid
vaults, He
venom, of
venture, a
versus, Gryffindor
very, long
vicious, He
view, were
village, Thats
visit, Hagrid
visiting, the
visits, to
voice, however
voices, isnt
vomit, flavored
wager, Once
wait, Hermione
waiting, Twelve
wake, Shes
walk, Harry
walked, through
wall, Harry
walls, Harry
wand, Snape
wander, Other
wandering, around
wanders, so
wands, please
wandy, for
wanna, tap
want, well
wanted, us
wanting, to
wants, us
wardrobe, heres
warn, the
warned, Dumbledore
warning, you
was, badly
washy, nonsense
wasnt, my
wasted, away
watch, on
watched, them
water, on
wave, Apparently
waving, or
way, now
ways, to
we, free
weak, Harry
weaker, I
weapons, he
wear, that
wearing, Ron
weasels, Never
wed, take
week, later
weeks, Snape
weird, though
welcome, Professor
well, meet
went, into
were, right
werent, Harry
werewolf, Thats
werewolves, in
weve, gone
what, Good
whatever, a
whats, he
whatsoever, about
whelk, Dudley
when, I
where, is
which, you
while, Lord
whilst, Ive
whippersnappers, Rosmerta
whistle, 
who, sent
whoa, Whoa
whod, like
whole, lot
whos, here
whose, heart
why, deny
wicked, Harry
will, not
willing, to
willingly, into
wimp, Longbottom
win, Draco
wind, blows
windy, wandy
wing, joint
winner, Ron
wins, the
wise, place
wish, youd
wished, to
wishes, to
wishy, washy
witch, of
witchcraft, and
witches, and
with, it
withdrawal, Goblin
within, wouldnt
without, stay
witness, but
wits, Why
wizard, could
wizarding, world
wizardry, Boy
wizards, who
wolf, There
wolfbane, Harry
wolfsbane, they
woman, She
won, Hermione
wonder, if
wondered, when
wonderful, Here
wondering, if
wonders, where
wonky, cross
wont, let
woolly, discipline
word, to
words, Hermione
work, you
worked, for
works, Earlier
world, Harry
wormwood, make
worried, All
worry, he
worrying, about
worse, believe
worship, cats
worst, did
worth, it
would, be
wouldnt, have
wouldve, thought
wow, Percy
wrapped, They
wrench, giving
wrist, movement
writing, to
written, in
wrong, man
wrote, the
y, Vernon
ya, Mrs
yeah, Tell
year, Now
years, in
yellow, eyes
yes, Indeed
yesterday, before
yet, Ron
you, talking
youd, know
youll, think
young, in
youngest, Quidditch
your, teacher
youre, there
yours, Gambling
yourself, Sirius
yourselfs, going
yourselves, both
youth, to
youve, gone
zoo, Im
